unit,               hm,                  cTime,       dt,       chm,qcrs,sat,sel,mod,bmso, Tb,  vb,  ib,   ib_charge, ioc, voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,soc_min, dv,
g20230530_soc0p_ch, 2023-08-10:17:47:49,     275.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:48:14,     300.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:48:39,     325.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:49:04,     350.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:49:29,     375.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:49:54,     400.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:50:19,     425.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:50:44,     450.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:51:09,     475.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:51:34,     500.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:51:59,     525.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:52:24,     550.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:52:49,     575.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:53:14,     600.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:53:39,     625.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:54:04,     650.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:54:29,     675.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:54:54,     700.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:55:19,     725.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:55:44,     750.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:56:09,     775.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:56:34,     800.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:56:59,     825.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:57:24,     850.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:57:49,     875.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:58:14,     900.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:58:39,     925.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:59:04,     950.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:59:29,     975.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:17:59:54,    1000.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:00:19,    1025.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:00:44,    1050.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:01:09,    1075.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:01:34,    1100.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:01:59,    1125.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:02:24,    1150.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:02:49,    1175.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:03:14,    1200.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:03:39,    1225.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:04:04,    1250.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:04:29,    1275.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:04:54,    1300.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:05:19,    1325.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:05:44,    1350.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:06:09,    1375.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:06:34,    1400.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:06:59,    1425.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:07:24,    1450.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:07:49,    1475.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:08:14,    1500.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:08:39,    1525.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:09:04,    1550.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:09:29,    1575.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:09:54,    1600.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:10:19,    1625.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:10:44,    1650.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:11:09,    1675.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:11:34,    1700.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:11:59,    1725.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:12:24,    1750.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:12:49,    1775.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:13:14,    1800.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:13:39,    1825.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:14:04,    1850.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:14:29,    1875.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:14:54,    1900.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:15:19,    1925.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:15:44,    1950.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:16:09,    1975.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:16:34,    2000.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:16:59,    2025.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:17:24,    2050.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:17:49,    2075.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:18:14,    2100.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:18:39,    2125.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:19:04,    2150.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:19:29,    2175.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:19:54,    2200.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:20:19,    2225.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:20:44,    2250.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:21:09,    2275.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:21:34,    2300.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:21:59,    2325.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:22:24,    2350.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:22:49,    2375.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:23:14,    2400.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:23:39,    2425.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:24:04,    2450.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:24:29,    2475.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:24:54,    2500.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:25:19,    2525.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:25:44,    2550.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
g20230530_soc0p_ch, 2023-08-10:18:26:09,    2575.000,   0.100,   1,  360000, 1,  1,  0,  0, 25.000,14.620,    0.000,      0.000,       nan, 14.620, 13.700,  0.000, 14.620,    nan,    nan,    nan,    nan,  1.000,  0.000,  0.000,
